Page,Title,Description,ModalText,RolesAndResponsibilities,Technologies,Thumbnail,LinkToProject
DataViz,EPA National Aquatic Resource Survey Dashboard,The NARS Dashboards are a series of dashboards created to make EPA survey data relating to the aquatic systems within the United States available to the public. ,"Four surveys of the different water types (lakes, rivers, coasts & wetlands) are conducted every five years on a rolling basis. These dashboards allow users to filter the data to the specific information that interests them. The data is presented it in a variety of graphical ways, allowing the EPA to highlight data parameters and comparisons. ","Lead developer for the past 4 years. Lead creation of 4+ dashboards., Lead a rebuild of the entire dashboard to update it from vanilla javascript/css/jquery to React w/ Scss (not yet released to public. Linked dashboard is the old version.)","HTML, JS, D3, CSS, React, Zustand",/DataViz/NLA17-dashboard.png,https://nationallakesassessment.epa.gov/dashboard/
DataViz,EPA National Aquatic Resource Survey Web Report,The NARS Web Reports are a series of scrolling reports we created to serve as executive summaries of the associated EPA water condition data to replace existing PDF reports.,"A series of scrolling reports we created to serve as executive summaries of the associated water data to replace exiting PDFs. These web reports for an author to create a report by simply uploading the necessary files and include navigation, images, charts and other editorial supports. Each water type (lakes, rivers, coasts & wetlands) has unique needs which are accounted for in the common code- allowing for updates to singular reports or all reports. ","Lead developer for the past 4 years. Lead creation of 4+ survey reports.,Expanded the project from accommodating a single survey report to allowing creation of reports for multiple surveys.","HTML, JS, D3, CSS, Node, ArchieML",/DataViz/NLA17-dashboard.png,https://nationallakesassessment.epa.gov/webreport/
DataViz,PHWins Dashboard,For PHWins we created a set of dashboards to present their national survey data related to Public Health workers.,"The Debaumont foundation came to us with a need to create a comprehensive set of dashboards to present the data they had collected over three surveys about the state of the public health workforce. These dashboards allow users to slice and dice the data to drill quickly down to what is of interest to them. They are further able to compare to other demographic groups, see confidence intervals, and export images of the charts they create. ","Lead developer., Lead creation of the original dashboards as well as subsequent updates.","HTML, JS, D3, CSS, Python, Flask",/DataViz//PHWins-dashboard.png,https://phwins.org/national
DataViz,RShiny,We used R and RShiny to process the data recieved from EPA into the format needed to build the dashboards and web reports. ,Extensive set of R scripts used to convert data received from EPA in to the format needed for the dashboard. Scripts took in multiple data sources and converged them into a single data source with all the information the dashboard needs to create the charts and controls.,"Lead developer, co-developer of separate set of test scripts","R, RShiny",/DataViz//DataConductor.png,
DataViz,The Cost of Cancer,This was my capstone project. It is a scrollytelling report about the medical costs associated with a cancer diagnosis.,"The concept behind this project was to create a narrative that was understandable and evocative, while integrating facts and figures related to the topic. We all know that medical care is expensive. By following a fictional couple, this project attempts to get specific about the costs and how they affect real people. To create the fictional couple, I interviewed cancer patients and their partners. I used cartoons to be able to present a dialogue between the couple and the people they interact with throughout the process.",Sole developer,"HTML, JS, D3, CSS, Illustrator",/DataViz/costsOfCancer.png,http://costsofcancer.com/
DataViz,Colorado's Counties,An infographic looking at population change county by county in Colorado.,"As a transplant to Colorado I’m fascinated by the history of the area which is, in many cases, recent enough to be able to really feel a part of it. The population boom and busts throughout the state have left their marks on the landscape and culture. Populations have migrated around the state following industry- mostly mining, ranching & recreation. This graphic singles out seven distinct counties. Each has experienced its own share of change, but for different reasons.",Sole developer,"Tableau, Illustrator",/DataViz/Colorado_thumbnail.jpeg,/DataViz/Colorado.pdf
DataViz,Was the powder really that good then?,A look at the total and mean snowfall from 1975 - 2018 across a range of major ski mountains around the west. ,Article,,,/DataViz/snowfall_graphic/snowfall_graphic_thumbnail.png,
DataViz,Political Ads Reach,A quick look at how cost effective the parties' political ad spending was.,Article,,,/DataViz/political_ads.png,https://public.flourish.studio/visualisation/19041272/
DataViz,Traffic Information and Safety Animations,Animated videos created for the Town of Lafayette to help residents understand a new traffic pattern.,"The town of Lafayette CO was preparing to implement a large infrastructure improvement project to their main downtown street. The design of the intersections, parking and more was out dated and reflected a time when the street was a major throughway- before the highway was routed around the town. Included in the plan was the replacement of a stop light with a 4- way stop sign and designated left turn lanes and a sometimes busy intersection. <br>There was concern among the citizens that the change would cause undo delays and safety issues. I was hired to create two short animations explaining the reasoning for making the change and how to use the intersection. The videos were then used in the town's public information campaign as they prepared to start construction.",Sole developer,"D3, Illustrator, Animate",/DataViz/animation2_thumbnail.png,https://www.youtube.com/watch?v=s81zy8ZAzUk&t=2s&ab_channel=CityofLafayetteColorado
DataViz,Travelling with Children,An infographic of the emotional ups and downs of travelling with small children.,"We travel with our children fairly often and have since they were infants. When I made this graphic our kids were 9 and 6. Travelling with them has progressively gotten easier but still has it’s challenging moments.<br>For this graphic, my 9 yr old daughter and I logged our actions and emotions every 15 minutes for an entire day of traveling from Louisville, CO to Springfield, MA. We logged from the time we were leaving until the time we arrived. That meant stopping in the middle of security to whip out my notebook and ask her how she was feeling. It meant logging my emotions during the inevitable fight over the iPad. But it also meant logging our emotions over a well deserved Dunkin Donut.<br>In good Feltron style, I also collected other information about our day- number of people we talked with, number of miles travelled, etc.<br>Overall it was a good day but our opposing emotional fluctuations are clear throughout. ",Sole developer,Illustrator,/DataViz/TravelGraphic_thumbnail.jpg,/DataViz/Travel_Graphic.pdf
