Page,Type,Title,URL_Title,Description,ModalText,RolesAndResponsibilities,Technologies,Thumbnail,ModalImage,ModalImageType,LinkToProject,ArticleDataPath,ShowHide
DataViz,Professional,EPA National Aquatic Resource Survey Dashboard,NARS-Dashboard,The NARS Dashboards are a series of dashboards created to make EPA survey data relating to the aquatic systems within the United States available to the public. ,"Four surveys of the different water types (lakes, rivers, coasts & wetlands) are conducted every five years on a rolling basis. These dashboards allow users to filter the data to the specific information that interests them. The data is presented it in a variety of graphical ways, allowing the EPA to highlight data parameters and comparisons. ","Lead developer for the past 4 years. Lead creation of 4+ dashboards., Lead a rebuild of the entire dashboard to update it from vanilla javascript/css/jquery to React w/ Scss.","HTML, JS, D3, CSS, React, Zustand",/DataViz/NLA17-dashboard.png,/DataViz/NLA17-dashboard.png,Image,https://nationallakesassessment.epa.gov/dashboard/,,
DataViz,Professional,EPA National Aquatic Resource Survey Web Report,NARS-WebReport,The NARS Web Reports are a series of scrolling reports we created to serve as executive summaries of the associated EPA water condition data to replace existing PDF reports.,"A series of scrolling reports we created to serve as executive summaries of the associated water data to replace exiting PDFs. These web reports for an author to create a report by simply uploading the necessary files and include navigation, images, charts and other editorial supports. Each water type (lakes, rivers, coasts & wetlands) has unique needs which are accounted for in the common code- allowing for updates to singular reports or all reports. ","Lead developer for the past 4 years. Lead creation of 4+ survey reports.,Expanded the project from accommodating a single survey report to allowing creation of reports for multiple surveys.","HTML, JS, D3, CSS, Node, ArchieML",/DataViz/NLA17_webreport.png,/DataViz/NLA17_webreport.png,Image,https://nationallakesassessment.epa.gov/webreport/,,
DataViz,Professional,PHWins Dashboard,PHWins-Dashboard,For PHWins we created a set of dashboards to present their national survey data related to Public Health workers.,"The Debaumont foundation came to us with a need to create a comprehensive set of dashboards to present the data they had collected over three surveys about the state of the public health workforce. These dashboards allow users to slice and dice the data to drill quickly down to what is of interest to them. They are further able to compare to other demographic groups, see confidence intervals, and export images of the charts they create. ","Lead developer., Lead creation of the original dashboards as well as subsequent updates.","HTML, JS, D3, CSS, Python, Flask",/DataViz/PHWins-dashboard.png,/DataViz/PHWins-dashboard.png,Image,https://phwins.org/national,,
DataViz,Professional,RShiny,RShiny,We used R and RShiny to process the data recieved from EPA into the format needed to build the dashboards and web reports. ,Extensive set of R scripts used to convert data received from EPA in to the format needed for the dashboard. Scripts took in multiple data sources and converged them into a single data source with all the information the dashboard needs to create the charts and controls.,"Lead developer, co-developer of separate set of test scripts","R, RShiny",/DataViz/DataConductor.png,/DataViz/DataConductor.png,Image,,,
DataViz,Professional,Raising Hands Literacty Project Annual Impact Report,RaisingHands,We created a thorough and impactful annual report to allow the organization to better showcase the work they have done to donors and partners.,"I worked closely with Holly, the director of the non-profit, to determine what data and information she had that could communicate the important work that her non-profit does. This was the first annual report she had made, so we spent time consolidating the information and developing a layout that would be both extensive enough to encompass all that they do, but not too long to lose the readers' interest. ",Designer,Adobe InDesign,/DataViz/RaisingHands_thumbnail.png,/DataViz/RaisingHands_thumbnail.png,Image,/DataViz/RaisingHands_multipageAnnualReport_v7.pdf,,
DataViz,Personal,Our Sicker Sisters and Brothers,HealthcareCartoons,The American healthcare and insurance system is complicated. I've created a cartoon series to help explain how it all works.,Article,,,/DataViz/healthcare_cartoon_thumbnail.png,/DataViz/healthcare_cartoon_thumbnail.png,Image,,,
DataViz,Personal,The Cost of Cancer,CostOfCancer,This was my capstone project. It is a scrollytelling report about the medical costs associated with a cancer diagnosis.,"This project was created in 2017 as my capstone project for my Information Visualization degree. The concept behind this project was to create a narrative that was understandable and evocative, while integrating facts and figures related to the topic. We all know that medical care is expensive. By following a fictional couple, this project attempts to get specific about the costs and how they affect real people. To create the fictional couple, I interviewed cancer patients and their partners. I used cartoons to be able to present a dialogue between the couple and the people they interact with throughout the process.",Sole developer,"HTML, JS, D3, CSS, Illustrator",/DataViz/costsOfCancer.png,/DataViz/costsOfCancer.png,Image,http://costsofcancer.com/,,
DataViz,Personal,Our Healthcare System,Healthcare,"Do you understand the inner workings of our healthcare system? If not, click here.",Article,,,/DataViz/Healthcare_thumbnail.png,/DataViz/Healthcare_thumbnail.png,Image,,,
DataViz,Personal,Does GLP1 need to be so expensive?,GLP1Cost,Is the cost of GLP1 appropriate? ,Article,,,/DataViz/GLP1_thumbnail.png,/DataViz/GLP1_thumbnail.png,Image,,,
DataViz,Personal,The case for Exchange Traded Funds vs Individual Stocks,ETFs,"An investigation into the difference in growth between a porfolio of individual stocks that my daughter picked in 2020, and my own investment porfolio in ETFs. ",Article,,,/DataViz/ETFs_thumbnail.png,,Image,,/DataViz/stockpile_study/stockpile_study_both.csv,Hide
DataViz,Personal,Ranked Choice Voting,RankedChoiceVoting,Use this interactive tool to explore what Ranked Choice Voting means.,Article,,,/DataViz/ranked_choice_thumbnail.png,/DataViz/ranked_choice_thumbnail.png,Image,,,
DataViz,Personal,Was the powder really that good then?,Powder,A look at the total and mean snowfall from 1975 - 2018 across a range of major ski mountains around the west. ,Article,,,/DataViz/snowfall_graphic/snowfall_graphic_thumbnail.png,/DataViz/snowfall_graphic/snowfall_graphic_thumbnail.png,Image,,,
DataViz,Personal,Making art with snowpack data.,SnowpackArt,"An artistic rendition of the snowpack data from the ""Was the Powder Really That Good Then?"" article.",FullPage,,,/DataViz/SnowpackArt_thumbnail.png,,Image,,,
DataViz,Personal,Political Ads Reach,PoliticalAdsReach,A quick look at how cost effective the parties' political ad spending was.,Article,,,/DataViz/political_ads.png,/DataViz/political_ads.png,Image,https://public.flourish.studio/visualisation/19041272/,,
DataViz,Personal,Compound Interest Visualized,CompoundInterest,Use this tool to calculate the future value of an investment over time.,Article,,,/DataViz/compountInterest_thumbnail.png,/DataViz/compountInterest_thumbnail.png,Image,,,
DataViz,Personal,Compound Interest Balloon,CompoundInterestBalloon,See the balloon grow!,Article,,,/DataViz/blowing-bubble-thumbnail.png,/DataViz/blowing-bubble-thumbnail.png,Image,,,
DataViz,Personal,Colorado's Counties,ColoradoCounties,An infographic looking at population change county by county in Colorado.,"As a transplant to Colorado I’m fascinated by the history of the area which is, in many cases, recent enough to be able to really feel a part of it. The population boom and busts throughout the state have left their marks on the landscape and culture. Populations have migrated around the state following industry- mostly mining, ranching & recreation. This graphic singles out seven distinct counties. Each has experienced its own share of change, but for different reasons. Click on the image to see the whole graphic. It was designed as a large poster, so you'll have to zoom around to read it.",Sole developer,"Tableau, Illustrator",/DataViz/Colorado_thumbnail.png,/DataViz/Colorado_thumbnail.png,Image,/DataViz/Colorado.pdf,,
DataViz,Professional,Traffic Information and Safety Animations,TrafficAnimations,Animated videos created for the Town of Lafayette to help residents understand a new traffic pattern.,"The town of Lafayette CO was preparing to implement a large infrastructure improvement project to their main downtown street. The design of the intersections, parking and more was out dated and reflected a time when the street was a major throughway- before the highway was routed around the town. Included in the plan was the replacement of a stop light with a 4- way stop sign and designated left turn lanes and a sometimes busy intersection. <br>There was concern among the citizens that the change would cause undo delays and safety issues. I was hired to create two short animations explaining the reasoning for making the change and how to use the intersection. The videos were then used in the town's public information campaign as they prepared to start construction.",Sole developer,"D3, Illustrator, Animate",/DataViz/animation2_thumbnail.png,/DataViz/animation2_thumbnail.png,Image,https://www.youtube.com/watch?v=s81zy8ZAzUk&t=2s&ab_channel=CityofLafayetteColorado,,
DataViz,Personal,Traveling with Children,TravelingWithChildren,An infographic of the emotional ups and downs of travelling with small children.,"We travel with our children fairly often and have since they were infants. When I made this graphic our kids were 9 and 6. Travelling with them has progressively gotten easier but still has it’s challenging moments.<br>For this graphic, my 9 yr old daughter and I logged our actions and emotions every 15 minutes for an entire day of traveling from Louisville, CO to Springfield, MA. We logged from the time we were leaving until the time we arrived. That meant stopping in the middle of security to whip out my notebook and ask her how she was feeling. It meant logging my emotions during the inevitable fight over the iPad. But it also meant logging our emotions over a well deserved Dunkin Donut.<br>In good Feltron style, I also collected other information about our day- number of people we talked with, number of miles travelled, etc.<br>Overall it was a good day but our opposing emotional fluctuations are clear throughout. ",Sole developer,Illustrator,/DataViz/TravelGraphic_thumbnail.png,/DataViz/TravelGraphic_thumbnail.png,Image,/DataViz/Travel_Graphic.pdf,,
DataViz,Personal,Makeover Monday - Fashion,FashionMakeover,A remake of  a Subjective Look at a NYT Fashion Magazine Issue’s Fashion Stories,Article,,,/DataViz/fashion_graphic/fashion_radar_grey_thumbnail.png,/DataViz/fashion_graphic/fashion_radar_grey.png,Image,,,
DataViz,Personal,Supplement Research,supplementResearch,This is a running log of various bits of research I've done into the vast array of supplements and orthopedic procedures I've had recommended to me. ,Article,,,,,,,,Hide
DataViz,Personal,Lodz Getto Interactive Prototype,Lodz,Prototype of a potential interactive exhibit for the US Holocaust Memorial Museum,"The United States Holocaust Memorial Museum commissioned my cohort in during my Info Viz program to create prototype designs for an exhibit focused on the Lotz Ghetto. The Lotz Ghetto was one of the first ghettos to be established by the Nazis and contained an enormous population, which was almost entirely wiped out by the end of the war. Detailed records of the people who lived in the Ghetto have been found and it was from this database that we were tasked with creating compelling exhibit prototypes. The project was designed as an ""intensive""- we were given the database in advance but only given 2 days on site in the museum to come up with the prototype.<br>Our concept was an interactive exhibit that would create an emotional experience by illustrating how people were removed from the ghetto. Often, entire families were not removed but, instead, individual members- the old, sick or even the children- leaving gaping holes where they once were. This video contains text explanation of the history of the ghetto as well as illustrations. The people in the video were drawn as a child would draw them in order to invoke the terror a child might feel as people are removed from their family. ",Co-developer,Powerpoint,/DataViz/lotz_thumbnail.png,https://player.vimeo.com/video/313837527,Video,/DataViz/FracturedFamilies.mov,,
Wood,,,,,,,,/Wood/Mark_bookshelf_all_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/Tonyshelf_all_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/Colbytable_all_thumbnail.jpg,,,,,
Wood,,,,,,,,/Wood/redoakbar_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/Homebook3_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/DadSidetable_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/curvylegtabletop_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/suntable_and_bench_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/patbookcenter3_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/ODaybookcenter_thumbnail.jpeg,,,,,
Wood,,,,,,,,/Wood/bar_a_thumbnail.jpg,,,,,
